EN,EM,Description,Composition strategy,Attribute,generated_sentence
wrong information,❌ℹ️,"[':cross_mark:', ':information:']",Direct,CORRECTNESS,"""Incorrect information."""
wrong assumption,❌🤔,"[':cross_mark:', ':thinking_face:']",Direct,CORRECTNESS,The wrong assumption led me to question everything.
wrong assumption,❌💭,"[':cross_mark:', ':thought_balloon:']",Direct,CORRECTNESS,"""That thought is a misconception."""
wrong assumption,🙅‍♀️🤔,"[':woman_gesturing_NO:', ':thinking_face:']",Direct,CORRECTNESS,"""She paused in thought, realizing her initial assumption was completely wrong."""
wrong assumption,👄❌👄💬,"[':mouth:', ':cross_mark:', ':mouth:', ':speech_balloon:']",Direct,CORRECTNESS,"""Don't assume what I feel based solely on my expression."""
wrong assumption,🙅‍♂️🤔,"[':man_gesturing_NO:', ':thinking_face:']",Direct,CORRECTNESS,"""That's not what I was thinking; I made a wrong assumption."""
wrong assumption,❌️👀🧠,"[':cross_mark:', '', ':eyes:', ':brain:']",Direct,CORRECTNESS,"""Don't jump to conclusions; your perception may lead to a wrong assumption."""
wrong assumption,❌🤔,"[':cross_mark:', ':thinking_face:']",Direct,CORRECTNESS,The wrong assumption led me to question everything.
wrong assumption,🤔🤦,"[':thinking_face:', ':person_facepalming:']",Metaphorical,CORRECTNESS,"""I made a wrong assumption and now I'm really questioning my judgment."""
wrong time,❌⏰,"[':cross_mark:', ':alarm_clock:']",Direct,CORRECTNESS,The time is not right.
wrong time,❌🕡,"[':cross_mark:', ':six-thirty:']",Direct,CORRECTNESS,"""It's the wrong time to meet."""
wrong time,🙅‍♀️🕰,"[':woman_gesturing_NO:', ':mantelpiece_clock:']",Direct,CORRECTNESS,"""She is saying no because it's the wrong time."""
wrong time,❌⏱️⏰,"[':cross_mark:', ':stopwatch:', ':alarm_clock:']",Direct,CORRECTNESS,"""The timing is off."""
wrong time,🙅‍♂️⏱️,"[':man_gesturing_NO:', ':stopwatch:']",Direct,CORRECTNESS,"""That's not the right time for this."""
wrong time,❌️⏰️,"[':cross_mark:', '', ':alarm_clock:', '']",Direct,CORRECTNESS,The schedule is not suitable; it's the wrong time.
wrong time,❌⏱️,"[':cross_mark:', ':stopwatch:']",Direct,CORRECTNESS,"""The time is not right."""
wrong time,🤦⌚,"[':person_facepalming:', ':watch:']",Metaphorical,CORRECTNESS,"""I realized I was late because I checked the wrong time."""
warm support,♨️🧑‍🤝‍🧑🧑‍🤝‍🧑🧑‍🤝‍🧑,"[':hot_springs:', ':people_holding_hands:', ':people_holding_hands:', ':people_holding_hands:']",Metaphorical,EMOTIONALITY,The warmth of friendship and support brings people together.
warm support,🌡🫂,"[':thermometer:', ':people_hugging:']",Direct,EMOTIONALITY,"""Offering warm support with open arms."""
warm support,🤝🥵,"[':handshake:', ':hot_face:']",Direct,EMOTIONALITY,"""Offering warm support through a strong handshake."""
warm support,👪🥰,"[':family:', ':smiling_face_with_hearts:']",Metaphorical,EMOTIONALITY,"""Together as a family, we share love and provide warm support for one another."""
warm support,🫂🤗,"[':people_hugging:', ':smiling_face_with_open_hands:']",Direct,EMOTIONALITY,"""Embracing each other with warm support and love."""
warm support,🥰,[':smiling_face_with_hearts:'],Single,EMOTIONALITY,Your warm support makes me feel so loved and appreciated!
warm support,🔥💪🏻,"[':fire:', ':flexed_biceps_light_skin_tone:']",Direct,EMOTIONALITY,"""Your warm support ignites strength and motivation!"""
warm support,🌡️💪,"[':thermometer:', ':flexed_biceps:']",Direct,EMOTIONALITY,"""With warm support, we can strengthen each other through the challenges we face."""
warm greeting,♨️🤗🤝,"[':hot_springs:', ':smiling_face_with_open_hands:', ':handshake:']",Direct,EMOTIONALITY,"""Let's share a warm greeting and embrace each other with joy!"""
warm greeting,♨️👋,"[':hot_springs:', ':waving_hand:']",Direct,EMOTIONALITY,"""Sending you a warm greeting!"""
warm greeting,🥵👋,"[':hot_face:', ':waving_hand:']",Direct,EMOTIONALITY,"""Hey there! It's so hot out, I can barely stand it!"""
warm greeting,👋🥰,"[':waving_hand:', ':smiling_face_with_hearts:']",Metaphorical,EMOTIONALITY,"""Hello! I'm so happy to see you!"""
warm greeting,😊👋,"[':smiling_face_with_smiling_eyes:', ':waving_hand:']",Metaphorical,EMOTIONALITY,"""Hello! It's so nice to see you!"""
warm greeting,👋👋👋,"[':waving_hand:', ':waving_hand:', ':waving_hand:']",Reduplication,EMOTIONALITY,"""Hello! It's great to see you!"""
warm greeting,❤️👋,"[':red_heart:', ':waving_hand:']",Metaphorical,EMOTIONALITY,"""Sending you a warm greeting filled with love!"""
warm greeting,🌡️🤝,"[':thermometer:', ':handshake:']",Direct,EMOTIONALITY,"""Let's share a warm greeting!"""
warm debate,♨️⚖️,"[':hot_springs:', ':balance_scale:']",Direct,LIVELINESS,"""Let's engage in a warm debate about the pros and cons of this topic."""
warm debate,🔥🗣,"[':fire:', ':speaking_head:']",Direct,LIVELINESS,A lively discussion is heating up with passionate arguments.
warm debate,🕵‍♂️🕵‍♀️,"[':man_detective:', ':woman_detective:']",Reduplication,LIVELINESS,"Two detectives engage in a lively discussion, exchanging ideas and opinions in a warm debate."
warm debate,🧠🗣️💥,"[':brain:', ':speaking_head:', ':collision:']",Direct,LIVELINESS,"""Engaging in a lively and intense discussion that sparks new ideas and perspectives."""
warm debate,🗣️🔥🗣️,"[':speaking_head:', ':fire:', ':speaking_head:']",Direct,LIVELINESS,The discussion was heated as everyone passionately expressed their opinions.
warm debate,👄🤯,"[':mouth:', ':exploding_head:']",Metaphorical,LIVELINESS,"""During our lively discussion, I was blown away by the passionate arguments presented, leaving me speechless!"""
warm debate,💥🧠,"[':collision:', ':brain:']",Metaphorical,LIVELINESS,"""An intense discussion sparked ideas and challenged our perspectives."""
warm debate,🌡️🗣️🗣️,"[':thermometer:', ':speaking_head:', ':speaking_head:']",Direct,LIVELINESS,"""People are engaging in a heated discussion about a warm topic."""
warm room,♨️😮‍💨,"[':hot_springs:', ':face_exhaling:']",Metaphorical,TEMPERATURE,"""After a long day, I stepped into the warm room and let out a sigh of relaxation."""
warm room,🌡🚺🚹,"[':thermometer:', ':women’s_room:', ':men’s_room:']",Direct,TEMPERATURE,The temperature in the room is warm enough for both women and men to feel comfortable.
warm room,🥵🏡,"[':hot_face:', ':house_with_garden:']",Direct,TEMPERATURE,It's a hot day inside the house.
warm room,🥵🏫,"[':hot_face:', ':school:']",Direct,TEMPERATURE,The classroom feels extremely hot today.
warm room,🥵🌡️🏚️,"[':hot_face:', ':thermometer:', ':derelict_house:']",Direct,TEMPERATURE,"The room feels uncomfortably warm, like a heatwave in a rundown house."
warm room,🥵,[':hot_face:'],Single,TEMPERATURE,It's so hot in here that I can barely stand it!
warm room,🔥🏠,"[':fire:', ':house:']",Direct,TEMPERATURE,The cozy room is filled with warmth from the crackling fire.
warm room,🌡️🏠,"[':thermometer:', ':house:']",Direct,TEMPERATURE,The room feels cozy and warm.
warm body,♨️🦶🦵👃👂🖐,"[':hot_springs:', ':foot:', ':leg:', ':nose:', ':ear:', ':hand_with_fingers_splayed:']",Semantic list,TEMPERATURE,"""Feel the warmth of your body as you relax and enjoy a soothing experience."""
warm body,🌡🧍‍♂️,"[':thermometer:', ':man_standing:']",Direct,TEMPERATURE,The man is feeling warm.
warm body,🎥💁‍♀️❤️🧟‍♂️,"[':movie_camera:', ':woman_tipping_hand:', ':red_heart:', ':man_zombie:']",Metaphorical,TEMPERATURE,"""She passionately loves making zombie movies."""
warm body,🤒,[':face_with_thermometer:'],Single,TEMPERATURE,"""I'm feeling warm and unwell."""
warm body,🤒,[':face_with_thermometer:'],Single,TEMPERATURE,"""I feel warm and feverish."""
warm body,🥵,[':hot_face:'],Single,TEMPERATURE,Feeling overheated and flushed in this warm weather!
warm body,🔥🧖‍♂️,"[':fire:', ':man_in_steamy_room:']",Direct,TEMPERATURE,"""Feeling warm and relaxed in the sauna."""
warm body,🌡️🧍,"[':thermometer:', ':person_standing:']",Direct,TEMPERATURE,The warm body is feeling the heat.
warm climate,♨️⛅,"[':hot_springs:', ':sun_behind_cloud:']",Direct,TEMPERATURE,The warm climate is perfect for enjoying a relaxing day at the hot springs under a cloudy sky.
warm climate,🌡🏜,"[':thermometer:', ':desert:']",Metaphorical,TEMPERATURE,"The temperature in the desert is extremely high, creating a warm climate."
warm climate,🥵🏝,"[':hot_face:', ':desert_island:']",Metaphorical,TEMPERATURE,The warm climate on the tropical island makes it feel scorching hot.
warm climate,🤒🥵🔥☀️,"[':face_with_thermometer:', ':hot_face:', ':fire:', ':sun:']",Metaphorical,TEMPERATURE,The sweltering heat of the sun makes me feel sick and feverish in this warm climate.
warm climate,☀️🌡️📈,"[':sun:', ':thermometer:', ':chart_increasing:']",Metaphorical,TEMPERATURE,The warm climate is characterized by rising temperatures and plenty of sunshine.
warm climate,🌤,[':sun_behind_small_cloud:'],Single,TEMPERATURE,The weather is warm and sunny today.
warm climate,🌤️,[':sun_behind_small_cloud:'],Single,TEMPERATURE,The warm climate brings bright and sunny days.
warm climate,🌡️🌏,"[':thermometer:', ':globe_showing_Asia-Australia:']",Metaphorical,TEMPERATURE,The rising temperatures are contributing to a warmer climate on Earth.
warm coat,♨️🧥,"[':hot_springs:', ':coat:']",Direct,TEMPERATURE,The steaming hot springs remind me of the cozy warmth of my favorite coat.
warm coat,🌡🧥,"[':thermometer:', ':coat:']",Direct,TEMPERATURE,It's time to wear a warm coat because the temperature is dropping.
warm coat,🥵🥼,"[':hot_face:', ':lab_coat:']",Direct,TEMPERATURE,"""It's so hot that even wearing a warm coat feels unbearable!"""
warm coat,🧥🥵,"[':coat:', ':hot_face:']",Direct,TEMPERATURE,The warm coat is too hot to wear.
warm coat,👍🧥❌🥶,"[':thumbs_up:', ':coat:', ':cross_mark:', ':cold_face:']",Direct,TEMPERATURE,"""Don't wear a warm coat when it's freezing!"""
warm coat,🧥,[':coat:'],Single,TEMPERATURE,A warm coat is essential for staying cozy during chilly weather.
warm coat,🧥,[':coat:'],Single,TEMPERATURE,The warm coat will keep you cozy during the chilly weather.
warm coat,🌡️🥼,"[':thermometer:', ':lab_coat:']",Direct,TEMPERATURE,"""Make sure to wear a warm coat when the temperature drops!"""
warm personality,♨️🙂👤,"[':hot_springs:', ':slightly_smiling_face:', ':bust_in_silhouette:']",Direct,EMOTIONALITY,"""With a warm personality, they always make everyone feel at home."""
warm personality,🔥😝,"[':fire:', ':squinting_face_with_tongue:']",Direct,EMOTIONALITY,"""With a warm personality, they bring the heat and a playful spirit to every gathering!"""
warm personality,🥵🤝👋,"[':hot_face:', ':handshake:', ':waving_hand:']",Direct,EMOTIONALITY,"""With a warm personality, I greet everyone with a friendly handshake and a cheerful wave!"""
warm personality,🥰👭,"[':smiling_face_with_hearts:', ':women_holding_hands:']",Metaphorical,EMOTIONALITY,"""Her warm personality shines through in the loving friendship she shares with her best friend."""
warm personality,👊🧑‍🤝‍🧑,"[':oncoming_fist:', ':people_holding_hands:']",Metaphorical,EMOTIONALITY,"""With a warm personality, they greet each other with a friendly fist bump."""
warm personality,🥰,[':smiling_face_with_hearts:'],Single,EMOTIONALITY,Her warm personality makes everyone feel loved and appreciated.
warm personality,😁🥳,"[':beaming_face_with_smiling_eyes:', ':partying_face:']",Semantic list,EMOTIONALITY,"With a warm personality, she lights up the room with her cheerful smile and celebratory spirit."
warm personality,🌡️💁‍♀️,"[':thermometer:', ':woman_tipping_hand:']",Direct,EMOTIONALITY,"""Her warm personality makes everyone feel comfortable and welcomed."""
clear complexion,🔎👩🏻,"[':magnifying_glass_tilted_right:', ':woman_light_skin_tone:']",Direct,PERFECTION,"""She is examining her clear complexion closely."""
clear complexion,👩✨,"[':woman:', ':sparkles:']",Metaphorical,PERFECTION,A woman radiates confidence with her clear complexion.
clear complexion,😌✨✨,"[':relieved_face:', ':sparkles:', ':sparkles:']",Metaphorical,PERFECTION,"""Feeling blissful with my clear complexion!"""
clear complexion,💁‍♀️,[':woman_tipping_hand:'],Single,PERFECTION,"""With her clear complexion, she confidently shares beauty tips."""
clear complexion,💆‍♀️👌,"[':woman_getting_massage:', ':OK_hand:']",Direct,PERFECTION,"""She enjoys a relaxing facial treatment that leaves her skin with a clear complexion."""
clear complexion,👨🚰🥗🪞✨,"[':man:', ':potable_water:', ':green_salad:', ':mirror:', ':sparkles:']",Metaphorical,PERFECTION,"""Men who drink plenty of water and eat healthy salads often achieve a clear complexion."""
clear complexion,😍🧴,"[':smiling_face_with_heart-eyes:', ':lotion_bottle:']",Metaphorical,PERFECTION,"""Use this amazing moisturizer for a clear and radiant complexion!"""
clear indication,🔎👉,"[':magnifying_glass_tilted_right:', ':backhand_index_pointing_right:']",Direct,CLARITY,"""Please provide a clear indication of where to find the information."""
clear indication,✔️✔️,"[':check_mark:', ':check_mark:']",Reduplication,CLARITY,The two check marks clearly indicate that everything is in order.
clear indication,😲😲🆗,"[':astonished_face:', ':astonished_face:', ':OK_button:']",Metaphorical,CLARITY,The surprised expressions indicate a clear understanding of the situation.
clear indication,🔮👓,"[':crystal_ball:', ':glasses:']",Direct,CLARITY,"""With the crystal ball and glasses, I can see the future clearly."""
clear indication,✔️✍️,"[':check_mark:', ':writing_hand:']",Direct,CLARITY,"""Please provide a clear indication by signing here."""
clear indication,💬✔️❌❓,"[':speech_balloon:', ':check_mark:', ':cross_mark:', ':red_question_mark:']",Direct,CLARITY,"""Please confirm if the message is clear or not."""
clear indication,🗣👍🏻,"[':speaking_head:', ':thumbs_up_light_skin_tone:']",Direct,CLARITY,"""Your feedback was clear and well-received."""
clear air,🌬,[':wind_face:'],Single,CLEARNESS,"The gentle breeze carries the scent of fresh, clear air."
clear air,⛰️🌬️,"[':mountain:', ':wind_face:']",Metaphorical,CLEARNESS,The crisp mountain air is refreshing and invigorating.
clear air,💨💨✨,"[':dashing_away:', ':dashing_away:', ':sparkles:']",Metaphorical,CLEARNESS,"""Fresh, clean air fills the atmosphere, bringing a sense of clarity and lightness."""
clear air,🍃❌🚬🧹,"[':leaf_fluttering_in_wind:', ':cross_mark:', ':cigarette:', ':broom:']",Metaphorical,CLEARNESS,"""Let’s clean up the air by quitting smoking."""
clear air,🌬️🍃👍,"[':wind_face:', ':leaf_fluttering_in_wind:', ':thumbs_up:']",Direct,CLEARNESS,The gentle breeze and rustling leaves signify that the air is fresh and clear.
clear air,💨✨❌🦠,"[':dashing_away:', ':sparkles:', ':cross_mark:', ':microbe:']",Metaphorical,CLEARNESS,"""Clear the air of pollutants and germs for a healthier environment."""
